"path_id"	"path_name"	"path_class"
"39"	"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"Metabolism"
"40"	"hsa00230"	"Purine metabolism"	"Metabolism"
"41"	"hsa00240"	"Pyrimidine metabolism"	"Metabolism"
"42"	"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"Metabolism"
"43"	"hsa00260"	"Glycine, serine and threonine metabolism"	"Metabolism"
"44"	"hsa00270"	"Cysteine and methionine metabolism"	"Metabolism"
"45"	"hsa00280"	"Valine, leucine and isoleucine degradation"	"Metabolism"
"46"	"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"Metabolism"
"47"	"hsa00310"	"Lysine degradation"	"Metabolism"
"48"	"hsa00220"	"Arginine biosynthesis"	"Metabolism"
"49"	"hsa00330"	"Arginine and proline metabolism"	"Metabolism"
"50"	"hsa00340"	"Histidine metabolism"	"Metabolism"
"51"	"hsa00350"	"Tyrosine metabolism"	"Metabolism"
"52"	"hsa00360"	"Phenylalanine metabolism"	"Metabolism"
"53"	"hsa00380"	"Tryptophan metabolism"	"Metabolism"
"54"	"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"Metabolism"
"55"	"hsa00410"	"beta-Alanine metabolism"	"Metabolism"
"56"	"hsa00430"	"Taurine and hypotaurine metabolism"	"Metabolism"
"57"	"hsa00440"	"Phosphonate and phosphinate metabolism"	"Metabolism"
"58"	"hsa00450"	"Selenocompound metabolism"	"Metabolism"
"59"	"hsa00470"	"D-Amino acid metabolism"	"Metabolism"
"60"	"hsa00480"	"Glutathione metabolism"	"Metabolism"
"61"	"hsa00510"	"N-Glycan biosynthesis"	"Metabolism"
"62"	"hsa00513"	"Various types of N-glycan biosynthesis"	"Metabolism"
"63"	"hsa00512"	"Mucin type O-glycan biosynthesis"	"Metabolism"
"64"	"hsa00515"	"Mannose type O-glycan biosynthesis"	"Metabolism"
"65"	"hsa00514"	"Other types of O-glycan biosynthesis"	"Metabolism"
"66"	"hsa00532"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"Metabolism"
"67"	"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"Metabolism"
"68"	"hsa00533"	"Glycosaminoglycan biosynthesis - keratan sulfate"	"Metabolism"
"69"	"hsa00531"	"Glycosaminoglycan degradation"	"Metabolism"
"70"	"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"Metabolism"
"71"	"hsa00601"	"Glycosphingolipid biosynthesis - lacto and neolacto series"	"Metabolism"
"72"	"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"Metabolism"
"73"	"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"Metabolism"
"74"	"hsa00511"	"Other glycan degradation"	"Metabolism"
"75"	"hsa00730"	"Thiamine metabolism"	"Metabolism"
"76"	"hsa00740"	"Riboflavin metabolism"	"Metabolism"
"77"	"hsa00750"	"Vitamin B6 metabolism"	"Metabolism"
"78"	"hsa00760"	"Nicotinate and nicotinamide metabolism"	"Metabolism"
"79"	"hsa00770"	"Pantothenate and CoA biosynthesis"	"Metabolism"
"80"	"hsa00780"	"Biotin metabolism"	"Metabolism"
"81"	"hsa00785"	"Lipoic acid metabolism"	"Metabolism"
"82"	"hsa00790"	"Folate biosynthesis"	"Metabolism"
"83"	"hsa00670"	"One carbon pool by folate"	"Metabolism"
"84"	"hsa00830"	"Retinol metabolism"	"Metabolism"
"85"	"hsa00860"	"Porphyrin metabolism"	"Metabolism"
"86"	"hsa00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"Metabolism"
"87"	"hsa00900"	"Terpenoid backbone biosynthesis"	"Metabolism"
"88"	"hsa00232"	"Caffeine metabolism"	"Metabolism"
"89"	"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"Metabolism"
"90"	"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"Metabolism"
"91"	"hsa00982"	"Drug metabolism - cytochrome P450"	"Metabolism"
"92"	"hsa00983"	"Drug metabolism - other enzymes"	"Metabolism"
"93"	"hsa03020"	"RNA polymerase"	"Genetic Information Processing"
"94"	"hsa03022"	"Basal transcription factors"	"Genetic Information Processing"
"95"	"hsa03040"	"Spliceosome"	"Genetic Information Processing"
"96"	"hsa03010"	"Ribosome"	"Genetic Information Processing"
"97"	"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"Genetic Information Processing"
"98"	"hsa03013"	"Nucleocytoplasmic transport"	"Genetic Information Processing"
"99"	"hsa03015"	"mRNA surveillance pathway"	"Genetic Information Processing"
"100"	"hsa03008"	"Ribosome biogenesis in eukaryotes"	"Genetic Information Processing"
"101"	"hsa03060"	"Protein export"	"Genetic Information Processing"
"102"	"hsa04141"	"Protein processing in endoplasmic reticulum"	"Genetic Information Processing"
"103"	"hsa04130"	"SNARE interactions in vesicular transport"	"Genetic Information Processing"
"104"	"hsa04120"	"Ubiquitin mediated proteolysis"	"Genetic Information Processing"
"105"	"hsa04122"	"Sulfur relay system"	"Genetic Information Processing"
"106"	"hsa03050"	"Proteasome"	"Genetic Information Processing"
"107"	"hsa03018"	"RNA degradation"	"Genetic Information Processing"
"108"	"hsa03030"	"DNA replication"	"Genetic Information Processing"
"109"	"hsa03410"	"Base excision repair"	"Genetic Information Processing"
"110"	"hsa03420"	"Nucleotide excision repair"	"Genetic Information Processing"
"111"	"hsa03430"	"Mismatch repair"	"Genetic Information Processing"
"112"	"hsa03440"	"Homologous recombination"	"Genetic Information Processing"
"113"	"hsa03450"	"Non-homologous end-joining"	"Genetic Information Processing"
"114"	"hsa03460"	"Fanconi anemia pathway"	"Genetic Information Processing"
"115"	"hsa03082"	"ATP-dependent chromatin remodeling"	"Genetic Information Processing"
"116"	"hsa03083"	"Polycomb repressive complex"	"Genetic Information Processing"
"117"	"hsa03250"	"Viral life cycle - HIV-1"	"Genetic Information Processing"
"118"	"hsa03260"	"Virion - Human immunodeficiency virus"	"Genetic Information Processing"
"119"	"hsa03271"	"Virion - Rotavirus"	"Genetic Information Processing"
"120"	"hsa03264"	"Virion - Flavivirus"	"Genetic Information Processing"
"121"	"hsa03265"	"Virion - Ebolavirus, Lyssavirus and Morbillivirus"	"Genetic Information Processing"
"122"	"hsa03266"	"Virion - Herpesvirus"	"Genetic Information Processing"
"123"	"hsa03267"	"Virion - Adenovirus"	"Genetic Information Processing"
"124"	"hsa02010"	"ABC transporters"	"Environmental Information Processing"
"125"	"hsa04010"	"MAPK signaling pathway"	"Environmental Information Processing"
"126"	"hsa04012"	"ErbB signaling pathway"	"Environmental Information Processing"
"127"	"hsa04014"	"Ras signaling pathway"	"Environmental Information Processing"
"128"	"hsa04015"	"Rap1 signaling pathway"	"Environmental Information Processing"
"129"	"hsa04310"	"Wnt signaling pathway"	"Environmental Information Processing"
"130"	"hsa04330"	"Notch signaling pathway"	"Environmental Information Processing"
"131"	"hsa04340"	"Hedgehog signaling pathway"	"Environmental Information Processing"
"132"	"hsa04350"	"TGF-beta signaling pathway"	"Environmental Information Processing"
"133"	"hsa04390"	"Hippo signaling pathway"	"Environmental Information Processing"
"134"	"hsa04392"	"Hippo signaling pathway - multiple species"	"Environmental Information Processing"
"135"	"hsa04370"	"VEGF signaling pathway"	"Environmental Information Processing"
"136"	"hsa04371"	"Apelin signaling pathway"	"Environmental Information Processing"
"137"	"hsa04630"	"JAK-STAT signaling pathway"	"Environmental Information Processing"
"138"	"hsa04064"	"NF-kappa B signaling pathway"	"Environmental Information Processing"
"139"	"hsa04668"	"TNF signaling pathway"	"Environmental Information Processing"
"140"	"hsa04066"	"HIF-1 signaling pathway"	"Environmental Information Processing"
"141"	"hsa04068"	"FoxO signaling pathway"	"Environmental Information Processing"
"142"	"hsa04020"	"Calcium signaling pathway"	"Environmental Information Processing"
"143"	"hsa04070"	"Phosphatidylinositol signaling system"	"Environmental Information Processing"
"144"	"hsa04072"	"Phospholipase D signaling pathway"	"Environmental Information Processing"
"145"	"hsa04071"	"Sphingolipid signaling pathway"	"Environmental Information Processing"
"146"	"hsa04024"	"cAMP signaling pathway"	"Environmental Information Processing"
"147"	"hsa04022"	"cGMP-PKG signaling pathway"	"Environmental Information Processing"
"148"	"hsa04151"	"PI3K-Akt signaling pathway"	"Environmental Information Processing"
"149"	"hsa04152"	"AMPK signaling pathway"	"Environmental Information Processing"
"150"	"hsa04150"	"mTOR signaling pathway"	"Environmental Information Processing"
"151"	"hsa04080"	"Neuroactive ligand-receptor interaction"	"Environmental Information Processing"
"152"	"hsa04060"	"Cytokine-cytokine receptor interaction"	"Environmental Information Processing"
"153"	"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	"Environmental Information Processing"
"154"	"hsa04512"	"ECM-receptor interaction"	"Environmental Information Processing"
"155"	"hsa04514"	"Cell adhesion molecules"	"Environmental Information Processing"
"156"	"hsa04144"	"Endocytosis"	"Cellular Processes"
"157"	"hsa04145"	"Phagosome"	"Cellular Processes"
"158"	"hsa04142"	"Lysosome"	"Cellular Processes"
"159"	"hsa04146"	"Peroxisome"	"Cellular Processes"
"160"	"hsa04140"	"Autophagy - animal"	"Cellular Processes"
"161"	"hsa04136"	"Autophagy - other"	"Cellular Processes"
"162"	"hsa04137"	"Mitophagy - animal"	"Cellular Processes"
"163"	"hsa04148"	"Efferocytosis"	"Cellular Processes"
"164"	"hsa04110"	"Cell cycle"	"Cellular Processes"
"165"	"hsa04114"	"Oocyte meiosis"	"Cellular Processes"
"166"	"hsa04210"	"Apoptosis"	"Cellular Processes"
"167"	"hsa04215"	"Apoptosis - multiple species"	"Cellular Processes"
"168"	"hsa04216"	"Ferroptosis"	"Cellular Processes"
"169"	"hsa04217"	"Necroptosis"	"Cellular Processes"
"170"	"hsa04115"	"p53 signaling pathway"	"Cellular Processes"
"171"	"hsa04218"	"Cellular senescence"	"Cellular Processes"
"172"	"hsa04510"	"Focal adhesion"	"Cellular Processes"
"173"	"hsa04520"	"Adherens junction"	"Cellular Processes"
"174"	"hsa04530"	"Tight junction"	"Cellular Processes"
"175"	"hsa04540"	"Gap junction"	"Cellular Processes"
"176"	"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"Cellular Processes"
"177"	"hsa04814"	"Motor proteins"	"Cellular Processes"
"178"	"hsa04820"	"Cytoskeleton in muscle cells"	"Cellular Processes"
"179"	"hsa04810"	"Regulation of actin cytoskeleton"	"Cellular Processes"
"180"	"hsa04640"	"Hematopoietic cell lineage"	"Organismal Systems"
"181"	"hsa04610"	"Complement and coagulation cascades"	"Organismal Systems"
"182"	"hsa04611"	"Platelet activation"	"Organismal Systems"
"183"	"hsa04613"	"Neutrophil extracellular trap formation"	"Organismal Systems"
"184"	"hsa04620"	"Toll-like receptor signaling pathway"	"Organismal Systems"
"185"	"hsa04621"	"NOD-like receptor signaling pathway"	"Organismal Systems"
"186"	"hsa04622"	"RIG-I-like receptor signaling pathway"	"Organismal Systems"
"187"	"hsa04623"	"Cytosolic DNA-sensing pathway"	"Organismal Systems"
"188"	"hsa04625"	"C-type lectin receptor signaling pathway"	"Organismal Systems"
"189"	"hsa04650"	"Natural killer cell mediated cytotoxicity"	"Organismal Systems"
"190"	"hsa04612"	"Antigen processing and presentation"	"Organismal Systems"
"191"	"hsa04660"	"T cell receptor signaling pathway"	"Organismal Systems"
"192"	"hsa04658"	"Th1 and Th2 cell differentiation"	"Organismal Systems"
"193"	"hsa04659"	"Th17 cell differentiation"	"Organismal Systems"
"194"	"hsa04657"	"IL-17 signaling pathway"	"Organismal Systems"
"195"	"hsa04662"	"B cell receptor signaling pathway"	"Organismal Systems"
"196"	"hsa04664"	"Fc epsilon RI signaling pathway"	"Organismal Systems"
"197"	"hsa04666"	"Fc gamma R-mediated phagocytosis"	"Organismal Systems"
"198"	"hsa04670"	"Leukocyte transendothelial migration"	"Organismal Systems"
"199"	"hsa04672"	"Intestinal immune network for IgA production"	"Organismal Systems"
"200"	"hsa04062"	"Chemokine signaling pathway"	"Organismal Systems"
"201"	"hsa04911"	"Insulin secretion"	"Organismal Systems"
"202"	"hsa04910"	"Insulin signaling pathway"	"Organismal Systems"
"203"	"hsa04922"	"Glucagon signaling pathway"	"Organismal Systems"
"204"	"hsa04923"	"Regulation of lipolysis in adipocytes"	"Organismal Systems"
"205"	"hsa04920"	"Adipocytokine signaling pathway"	"Organismal Systems"
"206"	"hsa03320"	"PPAR signaling pathway"	"Organismal Systems"
"207"	"hsa04929"	"GnRH secretion"	"Organismal Systems"
"208"	"hsa04912"	"GnRH signaling pathway"	"Organismal Systems"
"209"	"hsa04913"	"Ovarian steroidogenesis"	"Organismal Systems"
"210"	"hsa04915"	"Estrogen signaling pathway"	"Organismal Systems"
"211"	"hsa04914"	"Progesterone-mediated oocyte maturation"	"Organismal Systems"
"212"	"hsa04917"	"Prolactin signaling pathway"	"Organismal Systems"
"213"	"hsa04921"	"Oxytocin signaling pathway"	"Organismal Systems"
"214"	"hsa04926"	"Relaxin signaling pathway"	"Organismal Systems"
"215"	"hsa04935"	"Growth hormone synthesis, secretion and action"	"Organismal Systems"
"216"	"hsa04918"	"Thyroid hormone synthesis"	"Organismal Systems"
"217"	"hsa04919"	"Thyroid hormone signaling pathway"	"Organismal Systems"
"218"	"hsa04928"	"Parathyroid hormone synthesis, secretion and action"	"Organismal Systems"
"219"	"hsa04916"	"Melanogenesis"	"Organismal Systems"
"220"	"hsa04924"	"Renin secretion"	"Organismal Systems"
"221"	"hsa04614"	"Renin-angiotensin system"	"Organismal Systems"
"222"	"hsa04925"	"Aldosterone synthesis and secretion"	"Organismal Systems"
"223"	"hsa04927"	"Cortisol synthesis and secretion"	"Organismal Systems"
"224"	"hsa04260"	"Cardiac muscle contraction"	"Organismal Systems"
"225"	"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"Organismal Systems"
"226"	"hsa04270"	"Vascular smooth muscle contraction"	"Organismal Systems"
"227"	"hsa04970"	"Salivary secretion"	"Organismal Systems"
"228"	"hsa04971"	"Gastric acid secretion"	"Organismal Systems"
"229"	"hsa04972"	"Pancreatic secretion"	"Organismal Systems"
"230"	"hsa04976"	"Bile secretion"	"Organismal Systems"
"231"	"hsa04973"	"Carbohydrate digestion and absorption"	"Organismal Systems"
"232"	"hsa04974"	"Protein digestion and absorption"	"Organismal Systems"
"233"	"hsa04975"	"Fat digestion and absorption"	"Organismal Systems"
"234"	"hsa04979"	"Cholesterol metabolism"	"Organismal Systems"
"235"	"hsa04977"	"Vitamin digestion and absorption"	"Organismal Systems"
"236"	"hsa04980"	"Cobalamin transport and metabolism"	"Organismal Systems"
"237"	"hsa04978"	"Mineral absorption"	"Organismal Systems"
"238"	"hsa04962"	"Vasopressin-regulated water reabsorption"	"Organismal Systems"
"239"	"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"Organismal Systems"
"240"	"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"Organismal Systems"
"241"	"hsa04964"	"Proximal tubule bicarbonate reclamation"	"Organismal Systems"
"242"	"hsa04966"	"Collecting duct acid secretion"	"Organismal Systems"
"243"	"hsa04724"	"Glutamatergic synapse"	"Organismal Systems"
"244"	"hsa04727"	"GABAergic synapse"	"Organismal Systems"
"245"	"hsa04725"	"Cholinergic synapse"	"Organismal Systems"
"246"	"hsa04728"	"Dopaminergic synapse"	"Organismal Systems"
"247"	"hsa04726"	"Serotonergic synapse"	"Organismal Systems"
"248"	"hsa04720"	"Long-term potentiation"	"Organismal Systems"
"249"	"hsa04730"	"Long-term depression"	"Organismal Systems"
"250"	"hsa04723"	"Retrograde endocannabinoid signaling"	"Organismal Systems"
"251"	"hsa04721"	"Synaptic vesicle cycle"	"Organismal Systems"
"252"	"hsa04722"	"Neurotrophin signaling pathway"	"Organismal Systems"
"253"	"hsa04744"	"Phototransduction"	"Organismal Systems"
"254"	"hsa04740"	"Olfactory transduction"	"Organismal Systems"
"255"	"hsa04742"	"Taste transduction"	"Organismal Systems"
"256"	"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"Organismal Systems"
"257"	"hsa04360"	"Axon guidance"	"Organismal Systems"
"258"	"hsa04380"	"Osteoclast differentiation"	"Organismal Systems"
"259"	"hsa04211"	"Longevity regulating pathway"	"Organismal Systems"
"260"	"hsa04213"	"Longevity regulating pathway - multiple species"	"Organismal Systems"
"261"	"hsa04710"	"Circadian rhythm"	"Organismal Systems"
"262"	"hsa04713"	"Circadian entrainment"	"Organismal Systems"
"263"	"hsa04714"	"Thermogenesis"	"Organismal Systems"
"264"	"hsa05200"	"Pathways in cancer"	"Human Diseases"
"265"	"hsa05202"	"Transcriptional misregulation in cancer"	"Human Diseases"
"266"	"hsa05206"	"MicroRNAs in cancer"	"Human Diseases"
"267"	"hsa05205"	"Proteoglycans in cancer"	"Human Diseases"
"268"	"hsa05204"	"Chemical carcinogenesis - DNA adducts"	"Human Diseases"
"269"	"hsa05207"	"Chemical carcinogenesis - receptor activation"	"Human Diseases"
"270"	"hsa05208"	"Chemical carcinogenesis - reactive oxygen species"	"Human Diseases"
"271"	"hsa05203"	"Viral carcinogenesis"	"Human Diseases"
"272"	"hsa05230"	"Central carbon metabolism in cancer"	"Human Diseases"
"273"	"hsa05231"	"Choline metabolism in cancer"	"Human Diseases"
"274"	"hsa05235"	"PD-L1 expression and PD-1 checkpoint pathway in cancer"	"Human Diseases"
"275"	"hsa05210"	"Colorectal cancer"	"Human Diseases"
"276"	"hsa05212"	"Pancreatic cancer"	"Human Diseases"
"277"	"hsa05225"	"Hepatocellular carcinoma"	"Human Diseases"
"278"	"hsa05226"	"Gastric cancer"	"Human Diseases"
"279"	"hsa05214"	"Glioma"	"Human Diseases"
"280"	"hsa05216"	"Thyroid cancer"	"Human Diseases"
"281"	"hsa05221"	"Acute myeloid leukemia"	"Human Diseases"
"282"	"hsa05220"	"Chronic myeloid leukemia"	"Human Diseases"
"283"	"hsa05217"	"Basal cell carcinoma"	"Human Diseases"
"284"	"hsa05218"	"Melanoma"	"Human Diseases"
"285"	"hsa05211"	"Renal cell carcinoma"	"Human Diseases"
"286"	"hsa05219"	"Bladder cancer"	"Human Diseases"
"287"	"hsa05215"	"Prostate cancer"	"Human Diseases"
"288"	"hsa05213"	"Endometrial cancer"	"Human Diseases"
"289"	"hsa05224"	"Breast cancer"	"Human Diseases"
"290"	"hsa05222"	"Small cell lung cancer"	"Human Diseases"
"291"	"hsa05223"	"Non-small cell lung cancer"	"Human Diseases"
"292"	"hsa05166"	"Human T-cell leukemia virus 1 infection"	"Human Diseases"
"293"	"hsa05170"	"Human immunodeficiency virus 1 infection"	"Human Diseases"
"294"	"hsa05161"	"Hepatitis B"	"Human Diseases"
"295"	"hsa05160"	"Hepatitis C"	"Human Diseases"
"296"	"hsa05171"	"Coronavirus disease - COVID-19"	"Human Diseases"
"297"	"hsa05164"	"Influenza A"	"Human Diseases"
"298"	"hsa05162"	"Measles"	"Human Diseases"
"299"	"hsa05168"	"Herpes simplex virus 1 infection"	"Human Diseases"
"300"	"hsa05163"	"Human cytomegalovirus infection"	"Human Diseases"
"301"	"hsa05167"	"Kaposi sarcoma-associated herpesvirus infection"	"Human Diseases"
"302"	"hsa05169"	"Epstein-Barr virus infection"	"Human Diseases"
"303"	"hsa05165"	"Human papillomavirus infection"	"Human Diseases"
"304"	"hsa05110"	"Vibrio cholerae infection"	"Human Diseases"
"305"	"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"Human Diseases"
"306"	"hsa05130"	"Pathogenic Escherichia coli infection"	"Human Diseases"
"307"	"hsa05132"	"Salmonella infection"	"Human Diseases"
"308"	"hsa05131"	"Shigellosis"	"Human Diseases"
"309"	"hsa05135"	"Yersinia infection"	"Human Diseases"
"310"	"hsa05133"	"Pertussis"	"Human Diseases"
"311"	"hsa05134"	"Legionellosis"	"Human Diseases"
"312"	"hsa05150"	"Staphylococcus aureus infection"	"Human Diseases"
"313"	"hsa05152"	"Tuberculosis"	"Human Diseases"
"314"	"hsa05100"	"Bacterial invasion of epithelial cells"	"Human Diseases"
"315"	"hsa05146"	"Amoebiasis"	"Human Diseases"
"316"	"hsa05144"	"Malaria"	"Human Diseases"
"317"	"hsa05145"	"Toxoplasmosis"	"Human Diseases"
"318"	"hsa05140"	"Leishmaniasis"	"Human Diseases"
"319"	"hsa05142"	"Chagas disease"	"Human Diseases"
"320"	"hsa05143"	"African trypanosomiasis"	"Human Diseases"
"321"	"hsa05310"	"Asthma"	"Human Diseases"
"322"	"hsa05322"	"Systemic lupus erythematosus"	"Human Diseases"
"323"	"hsa05323"	"Rheumatoid arthritis"	"Human Diseases"
"324"	"hsa05320"	"Autoimmune thyroid disease"	"Human Diseases"
"325"	"hsa05321"	"Inflammatory bowel disease"	"Human Diseases"
"326"	"hsa05330"	"Allograft rejection"	"Human Diseases"
"327"	"hsa05332"	"Graft-versus-host disease"	"Human Diseases"
"328"	"hsa05340"	"Primary immunodeficiency"	"Human Diseases"
"329"	"hsa05010"	"Alzheimer disease"	"Human Diseases"
"330"	"hsa05012"	"Parkinson disease"	"Human Diseases"
"331"	"hsa05014"	"Amyotrophic lateral sclerosis"	"Human Diseases"
"332"	"hsa05016"	"Huntington disease"	"Human Diseases"
"333"	"hsa05017"	"Spinocerebellar ataxia"	"Human Diseases"
"334"	"hsa05020"	"Prion disease"	"Human Diseases"
"335"	"hsa05022"	"Pathways of neurodegeneration - multiple diseases"	"Human Diseases"
"336"	"hsa05030"	"Cocaine addiction"	"Human Diseases"
"337"	"hsa05031"	"Amphetamine addiction"	"Human Diseases"
"338"	"hsa05032"	"Morphine addiction"	"Human Diseases"
"339"	"hsa05033"	"Nicotine addiction"	"Human Diseases"
"340"	"hsa05034"	"Alcoholism"	"Human Diseases"
"341"	"hsa05417"	"Lipid and atherosclerosis"	"Human Diseases"
"342"	"hsa05418"	"Fluid shear stress and atherosclerosis"	"Human Diseases"
"343"	"hsa05410"	"Hypertrophic cardiomyopathy"	"Human Diseases"
"344"	"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy"	"Human Diseases"
"345"	"hsa05414"	"Dilated cardiomyopathy"	"Human Diseases"
"346"	"hsa05415"	"Diabetic cardiomyopathy"	"Human Diseases"
"347"	"hsa05416"	"Viral myocarditis"	"Human Diseases"
"348"	"hsa04930"	"Type II diabetes mellitus"	"Human Diseases"
"349"	"hsa04940"	"Type I diabetes mellitus"	"Human Diseases"
"350"	"hsa04950"	"Maturity onset diabetes of the young"	"Human Diseases"
"351"	"hsa04936"	"Alcoholic liver disease"	"Human Diseases"
"352"	"hsa04932"	"Non-alcoholic fatty liver disease"	"Human Diseases"
"353"	"hsa04931"	"Insulin resistance"	"Human Diseases"
"354"	"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"Human Diseases"
"355"	"hsa04934"	"Cushing syndrome"	"Human Diseases"
"356"	"hsa01521"	"EGFR tyrosine kinase inhibitor resistance"	"Human Diseases"
"357"	"hsa01524"	"Platinum drug resistance"	"Human Diseases"
"358"	"hsa01523"	"Antifolate resistance"	"Human Diseases"
"359"	"hsa01522"	"Endocrine resistance"	"Human Diseases"
"360"	"mmu01100"	"Metabolic pathways - Mus musculus (house mouse)"	"Metabolism"
"361"	"mmu01200"	"Carbon metabolism - Mus musculus (house mouse)"	"Metabolism"
"362"	"mmu01210"	"2-Oxocarboxylic acid metabolism - Mus musculus (house mouse)"	"Metabolism"
"363"	"mmu01212"	"Fatty acid metabolism - Mus musculus (house mouse)"	"Metabolism"
"364"	"mmu01230"	"Biosynthesis of amino acids - Mus musculus (house mouse)"	"Metabolism"
"365"	"mmu01232"	"Nucleotide metabolism - Mus musculus (house mouse)"	"Metabolism"
"366"	"mmu01250"	"Biosynthesis of nucleotide sugars - Mus musculus (house mouse)"	"Metabolism"
"367"	"mmu01240"	"Biosynthesis of cofactors - Mus musculus (house mouse)"	"Metabolism"
"368"	"mmu00010"	"Glycolysis / Gluconeogenesis - Mus musculus (house mouse)"	"Metabolism"
"369"	"mmu00020"	"Citrate cycle (TCA cycle) - Mus musculus (house mouse)"	"Metabolism"
"370"	"mmu00030"	"Pentose phosphate pathway - Mus musculus (house mouse)"	"Metabolism"
"371"	"mmu00040"	"Pentose and glucuronate interconversions - Mus musculus (house mouse)"	"Metabolism"
"372"	"mmu00051"	"Fructose and mannose metabolism - Mus musculus (house mouse)"	"Metabolism"
"373"	"mmu00052"	"Galactose metabolism - Mus musculus (house mouse)"	"Metabolism"
"374"	"mmu00053"	"Ascorbate and aldarate metabolism - Mus musculus (house mouse)"	"Metabolism"
"375"	"mmu00500"	"Starch and sucrose metabolism - Mus musculus (house mouse)"	"Metabolism"
"376"	"mmu00520"	"Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse)"	"Metabolism"
"377"	"mmu00620"	"Pyruvate metabolism - Mus musculus (house mouse)"	"Metabolism"
"378"	"mmu00630"	"Glyoxylate and dicarboxylate metabolism - Mus musculus (house mouse)"	"Metabolism"
"379"	"mmu00640"	"Propanoate metabolism - Mus musculus (house mouse)"	"Metabolism"
